Occupation,Level1Id,DescriptionLevel1
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
COMPOSITOR,18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"NEWSAGENT AND STATIONER",18,"PERSONS WORKING AND DEALING IN PAPER, PRINTS, BOOKS, AND STATIONARY"
"ASSISTINGIN BUSINESS",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
TAILORESS,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
GROCER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"NURSE DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"PENSIONED POSTMAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
WAREHOUSEMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
HOUSEKEEPER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"SHOW ROOM",15,"PERSONS WORKING AND DEALING IN DRESS"
UNEMPLOYED,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ASSISTANT BUTCHER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
HOUSEKEEPER,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
CASHIER,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"MEAT CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"RAILWAY GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"COUNTING HOSUE CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"HARNESS MAKER",20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
"CLERK NEWSPAPER OFFICE",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
"SHOP ASSISTANT DYER AND CLEANER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"ASSISTANT WAREHOUSEMANS",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"ENGINNERS STORE KEEPER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"LIFE ASSURANCE AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"HOME DUTIES",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CLERK TO HOUSE FURNISHING",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"APPRENTICE CARPENTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
PLASTERER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"FITTER LIGHTING DEPT",14,"PERSONS WORKING AND DEALING IN CHEMICALS, OIL, GREASE, SOAP, RESIN, ETC"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PRINGTING MACHINE OPERATIVE",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
ELECTRICIAN,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"WAGGON FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
AGENT,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
FISHMONGER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
UPHOLSTRESS,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"TELEPHONE CLERK",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
ELECTRICAN,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"SIGNAL FITTERS LABOURERS",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
BLACKSMITH,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"PIANOFORTE MAKER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"FITTER UP",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"MOTOR CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
GASMAN,8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"SHOP PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHOP ASSISTANT BAKER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"IRONMONGERS ASSISTANT",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"G W RAILWAYS GOODS PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"CONFECTIONARY TRAVELLER",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"ORIENTAL SALESMAN",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
MILLINER,15,"PERSONS WORKING AND DEALING IN DRESS"
"PRIVATE MEANS",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CLERK DRAPERS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
COLLECTOR,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CABMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"PORTER G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
MUSICIAN,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"GENERAL AGENT",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"SCHOOL TEACHER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BOOK KEEPER",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"ASSISTANT DRAUGHTSMAN",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"AT SCHOOL",12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CHIEF PETTY OFFICER R N",11,"PERSONS ENGAGED IN THE DEFENCE OF THE COUNTRY"
"STOKER AT ELECTRIC LIGHT STATION",8,"PERSONS ENGAGED IN GAS WATER AND ELECTRICITY SUPPLY AND SANITARY SERVICE"
"TAILORING SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"BLINDS AND VAN COVER MAKER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"ARTIST PAINTER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
STUDENT,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CLERK RUBBER MERCHANTS",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
LAUNDRESS,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DRAPERY ASSISTANT",21,"PERSONS WORKING AND DEALING IN TEXTILE FABRICS"
DRAUGHTSMAN,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"CHEESMONGERS ASSISTANT",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BUTCHER ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"PIANOFORTE MAKERS LINMAN",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"DRESSMAKER ASSISTANT",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DAIRYMAN,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GROCER'S PACKER",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"POLICEMAN G W R",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
FARRIER,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
BUTCHER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"GROCER AND PILMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"RAILWAY GUARD",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
WIFE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PAPERHANGER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
PAPERHANGER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
PAPERHANGER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"ASSURANCE AGENT PRUDENTIAL COMPANY",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FRENCH POLISHER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"SOLICITOR'S MANAGING CLERK",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
COACHMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
WAREHOUSEMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
COACHMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
CONDUCTOR,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"HOUSE DECORATOR",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"BLIND MAKER MECHANIC",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"COACHMAN FOR JODMASTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
TEACHER,10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"BOY TELEGRAPHIST H M",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"DAILY SERVANT BOADICEA DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
LABOURER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"MILK CARRIER WELFORD",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"ENGINE FITTER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
WORKMAN,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
WORKWOMAN,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DOMESTIC HOUSEMAID",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
POLISHING,17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"LEDGER CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"INSURANCE CLERK",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"DOMESTIC ECONOMY INSTITUTE",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"STONE MASON'S FIXER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"STONE MASON'S BANKER HAND",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"DRESSMAKER SKIRT HAND",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKER BLOUSE HAND",15,"PERSONS WORKING AND DEALING IN DRESS"
"DRESSMAKER SKIRT HAND",15,"PERSONS WORKING AND DEALING IN DRESS"
NONE,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CARMAN ON RAILWAY COY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"VAN GUARD ON RAILWAY COY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOOT SALESMAN",15,"PERSONS WORKING AND DEALING IN DRESS"
"GROCER SALESMAN",16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"WATCH AND CLOCK MAKER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
"STORE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
TELEGRAPHIST,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"JUNIOR CLERK SOLICITOR",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"DRESSMAKER'S IMPROVER",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
PLUMBER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SALESMAN,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
"HANE DUTIES",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"RAILWAY PORTER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"SHOP ASSISTANT",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"MOTOR - OMNIBUS DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"TELEPHONE FITTERS - MATE",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
TAILOR,15,"PERSONS WORKING AND DEALING IN DRESS"
BAKER,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"FLOUR TRAVELLER",4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
NIL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"CIVIL SERVANT",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"GENERAL LABOURER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
HOUSEMAID,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"FOOTMAN DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"FITTER GAS",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"LAW CLERK",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"COUNTRY HOUSE CLERK",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"OFFICE BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FITTER STOVE",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"ENGINEER MECHANICAL",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SORTER,1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"GENERAL SERVANT DOMESTIC",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"MOTOR CAR CLEANER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"COACH TRIMMER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TIN PLATE WORKER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
CHARWOMAN,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
WAREHOUSEMAN,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
POSTMAN,9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"MONTHLY NURSE",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"CLOCK - MAKER ELECTRICITY - METER",19,"PERSONS WORKING AND DEALING IN PRECIOUS METALS, JEWELS, WATCHES, INSTRUMENTS, AND GAMES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"TELEPHONE OPERATOR",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
CLERK,4,"PERSONS ENGAGED IN COMMERICAL OCCUPATIONS"
"COOK AND CONFECTIONER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
COOK,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
PORTER,5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
"ERRAND BOY",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
DECORATER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
COOK,6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
NIL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"FITTER ENGINEER",17,"PERSONS WORKING AND DEALING IN METALS, MACHINE IMPLEMENTS, AND CONVEYANCES"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
DRISSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
"MOTOR CAB DRIVER",5,"PERSONS ENGAGED IN CONVEYANCE OF MEN, GOODS, AND MESSAGES"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
BRICKLAYER,3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"AGENT BRITTANCE ASTS",23,"WORKING IN AND ABOUT, AND WORKING AND DEALING IN THE PRODUCTS OF, MINES AND QUARRIES"
UPHOLSTERER,22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
FURRIER,20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
FURRIER,20,"PERSONS WORKING AND DEALING IN SKINS, LEATHER, HAIR, AND FEATHERS"
"LAUNDRY HAND",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
"MAIL PORTER G P O",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
"DRESS MAKER",15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"WOODCARVER AND MODELLER",1,"OTHER GENERAL AND UNDEFINED WORKERS AND DEALERS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
"BOOT CLOSER",15,"PERSONS WORKING AND DEALING IN DRESS"
"CORNET PLAYER",10,"PERSONS ENGAGED IN PROFESSIONAL OCCUPATIONS AND THEIR SUBORDINATE SERVICES"
"FRENCH POLISHER",22,"PERSONS WORKING AND DEALING IN WOOD, FURNITURE FITTINGS, AND DECORATIONS"
"HOUSE PAINTER",3,"PERSONS ENGAGED IN BUILDING, AND WORKS OF CONSTRUCTION"
"JUNIOR CLERK TO BOARD OF GUARDIAN",9,"PERSONS ENGAGED IN OR IN CONNECTION WITH THE GENERAL OR LOCAL GOVERNMENT OF THE COUNTRY"
DRESSMAKER,15,"PERSONS WORKING AND DEALING IN DRESS"
SCHOOL,12,"PERSONS WITHOUT SPECIFIED OCCUPATIONS OR UNOCCUPIED"
WAITRESS,16,"PERSONS WORKING AND DEALING IN FOOD, TOBACCO, DRINK, AND LODGING"
"FUR TRADE STORE KEEPER",6,"PERSONS ENGAGED IN DOMESTIC OFFICES OR SERVICES"
